channelid,categoryid,subscribercount
UCiH9RaD34m5GsisAVde2bbg,19,1053
UCnpFV9Jn21yCbZAOpVKGL4A,10,1437
UCmeL8GwfOyH6Pt0K9lWCwww,24,20
UCtAebVfbry-Ce4oXqkcBJJw,26,100
UCbcPIsA5txPImroBVaJiRaw,22,5433
UCoabqfMFYggLI6q_iJh8-jw,1,113
UCHXbZQUE49YwHbAJc9Z6wZg,2,32
UCWMTR20z_v1zk9V4EJZAEmw,20,333448
UCMIebNc34EmVsbAYOY_vDNA,24,1
UCV4_mYEdMcv1YeqZMMiBbsA,27,3774
UCH2X_ZuR8FZalU4xu8hNpow,24,8707
UCuZIrql4x_Jr6aXKRoAOrFw,22,2176
UC0EKpxlBw6aM6MADzbxfcuQ,17,9429
UCAo76BuzZtVKnY45lF2s8og,22,16
UCd4-8S_rZ_M2UxI96pbypLw,1,1483
UC2DP749XX4HuBlJufmKsRdA,10,76
UCue5UlXITzJz2eopYE_yedQ,2,2
UCzoOfm1AILwHCgv2Dc3mdvg,22,50
UCOjF7GPRHEGA5f3074L_Tkw,24,7
UCBtB6ULonhMb9jXE72CNz-Q,24,8605
UC2l2CRfsl73FV5EETuNcNhg,10,10
UCjaSeKdnPGviZREF6EcnJcw,24,2155
UCD-9G8Ryrq9o7M3fEWk5rsA,22,8
UCXbBAdHOCyfUd6ruv_RUOPQ,20,126
